"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2003","Cyprus","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Cyprus","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Cyprus","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Cyprus","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Latvia","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Lithuania","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
